Species	VE	SC	SVL	TL
L_occidentalis	157	165	469	293
L_occidentalis	167	159	485	311
L_occidentalis	171	145	554	315
L_occidentalis	172	150	484	326
L_occidentalis	166	146	591	368
L_occidentalis	170	139	667	384
L_occidentalis	166	148	592	386
L_occidentalis	179	164	706	395
L_occidentalis	174	134	686	402
L_occidentalis	168	183	768	410
L_occidentalis	156	167	628	410
L_occidentalis	177	171	780	437
L_occidentalis	174	152	832	454
L_occidentalis	169	162	755	461
L_occidentalis	178	148	862	481
L_occidentalis	180	154	763	482
L_occidentalis	172	166	720	491
L_occidentalis	174	178	743	493
L_occidentalis	179	157	792	507
L_occidentalis	177	171	820	522
L_occidentalis	158	165	822	529
L_occidentalis	179	174	874	531
L_occidentalis	161	189	850	570
L_occidentalis	164	182	893	587
L_occidentalis	176	185	952	598
L_occidentalis	165	163	989	620
L_praenstans	183	165	590	369
L_praenstans	181	185	627	401
L_praenstans	174	177	672	412
L_praenstans	181	186	835	546
L_praenstans	180	183	1005	572
L_praenstans	176	174	635	578
L_praenstans	184	174	918	588
L_praenstans	179	186	935	610
L_praenstans	182	175	1066	620
L_praenstans	179	176	1127	702
L_urostictus	164	164	530	362
L_urostictus	166	179	776	516
L_urostictus	153	177	882	542
L_urostictus	164	174	850	547
L_urostictus	162	177	807	548
L_urostictus	164	180	884	551
L_urostictus	165	172	890	620
